nome,telefone,endereco,site,nicho,area,data_extração
Coopercargo - Soluções Logísticas,554721051800,"Av. Mississípi, 371 - Zona Industrial Norte, Joinville - SC, 89219-507, Brazil",http://www.coopercargo.com.br/,transportadora,Joinville,2025-05-21 10:31:08
Alfa Transportes - Joinville,554734387360,"R. Hans Dieter Schmidt, 979 - Zona Industrial Norte, Joinville - SC, 89219-500, Brazil",https://www.alfatransportes.com.br/,transportadora,Joinville,2025-05-21 10:31:09
Transville Transportes e Serviços - Joinville,554734618888,"R. Guilherme, 1392 - Costa e Silva, Joinville - SC, 89218-500, Brazil",http://www.transville.com.br/,transportadora,Joinville,2025-05-21 10:31:09
Transoliveira Transportadora,554734736847,"R. dos Portugueses, 1588 - Vila Nova, Joinville - SC, 89237-780, Brazil",,transportadora,Joinville,2025-05-21 10:31:10
Transport company Atlas & Expresso Jundiaí,554721051400,"Av. Plácido Hugo de Oliveira, 2398 - Profipo, Joinville - SC, 89233, Brazil",,transportadora,Joinville,2025-05-21 10:31:10
Aceville Transportes,554731307350,"R. Miguel Ângelo, 113 - São Marcos, Joinville - SC, 89237-007, Brazil",http://www.aceville.com.br/,transportadora,Joinville,2025-05-21 10:31:11
Godi Transportes,5547997230205,"R. Adriano Schondermank, 673 - Costa e Silva, Joinville - SC, 89217-400, Brazil",http://goditransportes.com.br/,transportadora,Joinville,2025-05-21 10:31:11
Transportadora Minuano,554734635110,"R. Leopoldo Koentopp, 150 - São Marcos, Joinville - SC, 89214-180, Brazil",http://www.transminuano.com.br/,transportadora,Joinville,2025-05-21 10:31:11
Cameony Transportes,554734241766,"R. Othon Mader, 375 - Nova Brasília, Joinville - SC, 89213-180, Brazil",,transportadora,Joinville,2025-05-21 10:31:12
DinoLog Logística e Transportes Ltda,554734401978,"R. dos Portugueses, 317 - Vila Nova, Joinville - SC, 89237-780, Brazil",http://dinolog.com.br/,transportadora,Joinville,2025-05-21 10:31:12
Transmagna Transportes - Joinville,554732051700,"SC-108 - Vila Nova, Joinville - SC, 89237-680, Brazil",https://www.transmagna.com.br/,transportadora,Joinville,2025-05-21 10:31:13
Transportes Cruzado Ltda,554738029000,"R. dos Bororós, 2000 - Zona Industrial Norte, Joinville - SC, 89219-512, Brazil",http://www.cruzado.com.br/,transportadora,Joinville,2025-05-21 10:31:13
MANCHESTER Logística Integrada LTDA,554721058999,"R. Pref. Helmuth Fallgatter, 1593 - Boa Vista, Joinville - SC, 89206-100, Brazil",http://www.manchesterlog.com.br/,transportadora,Joinville,2025-05-21 10:31:14
Latin Auto Transport and Logistics,554730281005,"R. Jaroslau Clemente Pesch, 202 - Nova Brasília, Joinville - SC, 89213-140, Brazil",https://www.autolatinalogistica.com.br/,transportadora,Joinville,2025-05-21 10:31:14
Transportadora Ludvig - Joinville,554735339113,"BR-280, km 38 - Joinville, SC, 89245-000, Brazil",https://ludvig.com.br/,transportadora,Joinville,2025-05-21 10:31:15
Arlete Transportes Joinville/SC,554734400240,"BR-101, KM 47 - Santa Catarina, Joinville - SC, Brazil",http://www.arletetransportes.com.br/,transportadora,Joinville,2025-05-21 10:31:15
Pesados Blumenau,554733383000,"Rua Dr. Pedro Zimmermann, 2211 - Itoupavazinha, Blumenau - SC, 89066-000, Brazil",http://www.pesadosblumenau.com.br/,transportadora,Blumenau,2025-05-21 10:31:18
Plimor carrier - Blumenau,554734881000,"Rua Dr. Pedro Zimmermann, 1960 - Itoupavazinha, Blumenau - SC, 89066-000, Brazil",,transportadora,Blumenau,2025-05-21 10:31:19
Transportadora Ociani,554732326699,"R. Ari Barroso, 1002 - Itoupavazinha, Blumenau - SC, 89066-347, Brazil",http://www.ociani.com.br/,transportadora,Blumenau,2025-05-21 10:31:19
